trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.5, 'e': 0.455236658870558}",20,7,0.4952722845530284,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4278984918140859}",30,9,-26.074747162444968,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.3991934164047902}",20,0,24.438484079314893,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.3690530872250297}",25,0,-14.45366540856486,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.3374057415862812}",25,10,14.615934225985237,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3041760286655953}",25,11,15.830614430125443,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.26928483009887505}",25,11,-18.92030267625215,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2326490716038188}",20,0,9.149474629975069,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.19418152518400975}",30,9,15.212058869515285,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.15379060144321022}",20,12,16.247380043431143,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.11138013151537073}",25,2,17.930717779539492,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.06684913809113927}",25,15,19.48895403594649,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.020091594995696224}",20,11,17.168525263128892,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': -0.029003825254518965}",20,5,32.46285685455802,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': -0.029003825254518965}",30,7,39.479816431225665,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.029003825254518965}",20,8,20.58220270998022,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.029003825254518965}",30,23,11.544113412721174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.029003825254518965}",20,16,8.567263472719581,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.029003825254518965}",20,10,17.562038199319378,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.029003825254518965}",20,6,25.986930149587334,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -0.029003825254518965}",20,5,28.2992489215176,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.029003825254518965}",20,9,17.54627604651352,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -0.029003825254518965}",20,14,12.396341979386733,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -0.029003825254518965}",30,18,22.46448539519946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
